iteration,fidelity,n_samples,radius,thickness,npanels,theta,length,y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,50000,104.7,7.3,83.0,77.4,6.7,75.0,0.2098,0.0195,0.2219
0,0,50000,236.0,5.9,74.0,36.0,20.2,66.0,0.2149,0.0215,0.2016
0,0,50000,235.0,7.5,188.0,77.3,6.2,60.0,0.3935,0.0274,0.1807
0,0,50000,126.4,12.6,163.0,19.3,4.5,45.0,0.21,0.0195,0.134
0,0,50000,244.3,5.7,252.0,10.7,4.7,47.0,0.3009,0.0251,0.1408
0,0,50000,167.6,12.8,204.0,18.9,5.0,49.0,0.2195,0.0204,0.1514
0,0,50000,160.0,13.5,215.0,85.8,4.1,54.0,0.3445,0.0242,0.1611
0,0,50000,255.6,7.8,163.0,57.5,10.4,36.0,0.3271,0.0264,0.11
0,0,50000,163.7,12.1,13.0,72.7,2.7,44.0,0.1715,0.0186,0.1287
0,0,50000,181.9,12.3,119.0,13.8,3.6,46.0,0.1833,0.0186,0.1395
0,0,50000,242.6,7.0,12.0,70.1,11.8,40.0,0.2727,0.0258,0.1185
0,0,50000,230.0,13.7,115.0,56.8,3.3,66.0,0.2519,0.0227,0.1996
0,0,50000,202.1,10.7,292.0,17.2,3.0,50.0,0.374,0.0259,0.1509
0,0,50000,100.7,6.4,40.0,76.4,12.1,90.0,0.2082,0.0195,0.2661
0,0,50000,244.0,5.1,10.0,14.8,40.6,102.0,0.1854,0.02,0.3015
0,0,50000,198.9,6.0,88.0,33.4,20.6,42.0,0.1828,0.0189,0.1264
0,0,50000,235.8,8.3,319.0,36.8,5.0,42.0,0.5123,0.0287,0.1269
0,0,50000,130.8,10.9,132.0,38.7,4.1,34.0,0.208,0.0194,0.1009
0,0,50000,193.4,7.2,25.0,4.0,12.6,46.0,0.1496,0.0168,0.138
0,0,50000,119.2,9.9,31.0,3.3,10.9,72.0,0.2113,0.0195,0.2141
0,0,50000,161.6,8.1,22.0,60.5,3.7,84.0,0.1675,0.018,0.2493
0,0,50000,255.0,16.8,230.0,26.5,2.2,48.0,0.3449,0.0268,0.1484
0,0,50000,136.2,16.6,64.0,24.5,8.0,52.0,0.1922,0.0188,0.1567
0,0,50000,120.3,6.9,177.0,1.0,3.0,62.0,0.2102,0.0193,0.1829
0,0,50000,210.4,7.2,9.0,48.3,14.7,54.0,0.1826,0.0197,0.1608
0,0,50000,236.0,11.5,49.0,63.8,4.9,62.0,0.2621,0.024,0.1934
0,0,50000,139.7,6.1,219.0,88.7,5.8,48.0,0.3232,0.0231,0.141
0,0,50000,131.0,7.0,94.0,24.2,6.9,64.0,0.21,0.0195,0.1943
0,0,50000,196.6,6.6,123.0,42.3,6.8,66.0,0.1981,0.0197,0.1953
0,0,50000,170.6,12.6,115.0,60.2,2.8,54.0,0.2047,0.0197,0.1589
0,0,50000,173.0,10.5,59.0,11.3,10.7,50.0,0.1706,0.0179,0.1594
0,0,50000,243.6,5.3,101.0,13.2,9.2,60.0,0.2122,0.0215,0.1777
0,0,50000,148.0,7.6,50.0,20.0,30.9,52.0,0.1826,0.0183,0.1539
0,0,50000,166.6,7.3,18.0,2.9,115.2,40.0,0.1952,0.0199,0.1203
0,0,50000,212.6,11.4,254.0,47.6,7.0,64.0,0.3763,0.0267,0.1935
0,0,50000,223.0,5.8,126.0,31.6,3.7,62.0,0.2038,0.0203,0.186
0,0,50000,219.2,17.5,9.0,24.9,2.1,56.0,0.1667,0.0188,0.1685
0,0,50000,183.3,13.1,12.0,8.7,32.2,58.0,0.1511,0.0169,0.1707
0,0,50000,229.2,11.7,109.0,25.7,4.7,58.0,0.209,0.0211,0.1773
0,0,50000,143.0,8.8,98.0,70.0,6.8,56.0,0.2026,0.0194,0.1661
0,0,50000,215.9,7.9,32.0,23.8,6.6,52.0,0.1607,0.0179,0.1521
0,0,50000,177.5,5.6,136.0,27.5,15.5,72.0,0.1978,0.0194,0.2168
0,0,50000,109.3,11.5,142.0,66.8,5.9,50.0,0.2332,0.0204,0.1473
0,0,50000,158.0,7.2,224.0,80.2,5.6,74.0,0.3318,0.0237,0.2168
0,0,50000,174.2,8.3,18.0,1.0,73.2,58.0,0.1623,0.0176,0.1807
0,0,50000,138.6,5.3,16.0,53.1,17.6,84.0,0.1753,0.0181,0.2461
0,0,50000,238.4,10.4,35.0,5.2,42.9,54.0,0.1717,0.0192,0.1729
0,0,50000,190.5,7.8,77.0,2.4,7.7,60.0,0.1697,0.018,0.1785
0,0,50000,253.9,7.6,261.0,60.4,11.5,54.0,0.4925,0.0299,0.1646
0,0,50000,248.6,5.7,73.0,10.3,28.9,60.0,0.2025,0.0213,0.1872
0,0,50000,125.4,6.0,15.0,84.2,7.2,100.0,0.1814,0.0186,0.293
0,0,50000,158.0,13.9,214.0,60.1,4.4,50.0,0.2861,0.0226,0.1482
0,0,50000,177.1,10.6,8.0,4.6,66.9,66.0,0.1549,0.0172,0.1958
0,0,50000,142.0,9.4,5.0,6.5,12.4,50.0,0.1712,0.0178,0.1468
0,0,50000,176.4,7.9,35.0,10.4,26.8,42.0,0.1615,0.0174,0.1264
0,0,50000,171.9,5.9,219.0,49.2,6.0,54.0,0.2594,0.0219,0.1609
0,0,50000,129.0,8.5,178.0,44.4,2.2,54.0,0.2211,0.0199,0.1582
0,0,50000,241.9,5.2,135.0,25.0,7.3,62.0,0.2229,0.0216,0.1836
0,0,50000,132.9,11.7,23.0,3.4,17.5,48.0,0.1905,0.0187,0.1414
0,0,50000,118.2,6.0,61.0,21.8,36.5,48.0,0.214,0.0196,0.1415
0,0,50000,243.5,12.4,8.0,52.0,4.3,46.0,0.2381,0.0242,0.1382
0,0,50000,174.9,5.9,194.0,85.6,11.9,28.0,0.328,0.0241,0.084
0,0,50000,135.7,15.5,39.0,71.7,4.4,62.0,0.1767,0.0182,0.1956
0,0,50000,160.2,5.7,82.0,20.2,12.7,58.0,0.1857,0.0185,0.1704
0,0,50000,99.8,10.2,34.0,22.9,21.3,50.0,0.2276,0.0202,0.1483
